chauffage,tranche,conso_moyenne,effectif
Électricité,0-600m (Vallée),228.1442657134346,40284
Électricité,600-1200m (Colline),251.1891486441721,21131
Électricité,1200-1800m (Montagne),332.8702670623145,15165
Électricité,1800-2500m (Haute montagne),334.1762510602205,3537
Gaz,0-600m (Vallée),169.18942130846034,60896
Gaz,600-1200m (Colline),145.2041109185442,14425
Gaz,1200-1800m (Montagne),174.2954067641682,4376
Gaz,1800-2500m (Haute montagne),224.47,1990
Fioul,0-600m (Vallée),329.0715370018975,5270
Fioul,600-1200m (Colline),323.2830989330747,4124
Fioul,1200-1800m (Montagne),353.8511897852583,3446
Fioul,1800-2500m (Haute montagne),375.4668874172185,604
Bois/Biomasse,0-600m (Vallée),228.90926007975187,2257
Bois/Biomasse,600-1200m (Colline),268.83455008488966,2356
Bois/Biomasse,1200-1800m (Montagne),292.45341991341985,1155
Bois/Biomasse,1800-2500m (Haute montagne),290.1744360902255,266
